,Цифровой код,Буквенный код,Единиц,Валюта,Курс
0,36,AUD,1,Австралийский доллар,60.0144
1,944,AZN,1,Азербайджанский манат,53.9877
2,51,AMD,100,Армянских драмов,23.6495
3,933,BYN,1,Белорусский рубль,28.3803
4,975,BGN,1,Болгарский лев,50.2764
5,986,BRL,1,Бразильский реал,17.9323
6,348,HUF,100,Венгерских форинтов,25.09
7,410,KRW,1000,Вон Республики Корея,66.7339
8,704,VND,10000,Вьетнамских донгов,37.8533
9,344,HKD,1,Гонконгский доллар,11.744
10,981,GEL,1,Грузинский лари,34.2971
11,208,DKK,1,Датская крона,13.1861
12,784,AED,1,Дирхам ОАЭ,24.9909
13,840,USD,1,Доллар США,91.7791
14,978,EUR,1,Евро,98.027
15,818,EGP,10,Египетских фунтов,19.1605
16,356,INR,10,Индийских рупий,11.0127
17,360,IDR,10000,Индонезийских рупий,56.6258
18,398,KZT,100,Казахстанских тенге,20.7013
19,124,CAD,1,Канадский доллар,67.1489
20,634,QAR,1,Катарский риал,25.214
21,417,KGS,10,Киргизских сомов,10.3347
22,156,CNY,1,Китайский юань,12.5657
23,498,MDL,10,Молдавских леев,51.4131
24,554,NZD,1,Новозеландский доллар,54.76
25,934,TMT,1,Новый туркменский манат,26.2226
26,578,NOK,10,Норвежских крон,83.3355
27,985,PLN,1,Польский злотый,22.8051
28,946,RON,1,Румынский лей,19.7915
29,960,XDR,1,СДР (специальные права заимствования),120.9217
30,941,RSD,100,Сербских динаров,84.0055
31,702,SGD,1,Сингапурский доллар,67.4598
32,972,TJS,10,Таджикских сомони,83.9753
33,764,THB,10,Таиландских батов,24.8058
34,949,TRY,10,Турецких лир,28.2555
35,860,UZS,10000,Узбекских сумов,72.6088
36,980,UAH,10,Украинских гривен,23.1355
37,826,GBP,1,Фунт стерлингов Соединенного королевства,114.6229
38,203,CZK,10,Чешских крон,39.0865
39,752,SEK,10,Шведских крон,84.0073
40,756,CHF,1,Швейцарский франк,100.7012
41,710,ZAR,10,Южноафриканских рэндов,48.3315
42,392,JPY,100,Японских иен,58.9726
